74157,55497,"[40480, 24106, 16953, 20503, 556, 1564, 650, 488, 13249, 40481]","[[17869, 6020], [8684, 501, 29702], [6812], [20503, 2226, 3531], [3137, 13249, 7524], [1564, 650], [8780], [13249, 15786], [734, 5612]]","[40480, 40482, 729, 2525, 10906, 485, 11291, 250, 40478, 40482, 2525, 6020, 500, 246, 2262, 28058, 715, 11868, 2525, 40478, 40482, 1082, 501, 29702, 500, 7754, 15473, 5465, 40478, 40482, 2523, 6812, 485, 12172, 500, 11868, 5024, 40478, 40482, 11606, 20503, 666, 6812, 240, 1927, 485, 3135, 240, 674, 11606, 20503, 666, 501, 29702, 240, 4127, 4306, 620, 525, 501, 29702, 874, 793, 485, 3316, 40478, 40482, 1082, 20503, 500, 28058, 488, 5539, 1073, 21967, 500, 2732, 240, 1927, 1098, 240, 670, 284, 1571, 40478, 40482, 10553, 20503, 485, 15473, 5070, 488, 1178, 2107, 500, 10906, 40478, 40482, 4846, 13249, 7524, 488, 1564, 650, 485, 28058, 40478, 40482, 10579, 2525, 485, 11868, 1583, 40478, 40482, 14057, 1073, 11197, 2314, 240, 277, 2176, 40478, 40482, 4846, 8780, 240, 17315, 618, 668, 1073, 6737, 40478, 40482, 10553, 1183, 20503, 2226, 851, 485, 246, 3505, 40478, 40482, 1495, 556, 10734, 40478, 40482, 1325, 15405, 556, 13249, 8654, 488, 734, 5612, 40478, 40481]","[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]",2,"[7557, 6526, 2499, 6261, 2832, 1049, 840, 4270, 5185]"
48296,141404,"[40480, 39327, 556, 19104, 3137, 1055, 11, 4364, 40481]","[[3137, 39327], [8780], [22193], [5541, 4183], [6953], [3137, 1430, 1301, 11332], [3137, 1055, 11, 4364]]","[40480, 40482, 13206, 811, 5238, 1250, 498, 39327, 17289, 240, 670, 280, 485, 281, 4550, 617, 2695, 40478, 40482, 1529, 246, 17869, 778, 35488, 485, 12277, 39327, 485, 670, 277, 3652, 617, 1495, 40478, 40482, 1892, 39327, 504, 31645, 666, 277, 3652, 3585, 40478, 40482, 9423, 8780, 500, 246, 5523, 260, 3261, 19527, 6847, 40478, 40482, 4846, 19104, 488, 5539, 715, 1583, 2525, 240, 7413, 488, 2552, 240, 1073, 19104, 640, 4309, 903, 2324, 40478, 40482, 4846, 39327, 40478, 40482, 5539, 240, 9822, 488, 7413, 562, 670, 277, 2176, 40478, 40482, 4846, 5541, 4183, 240, 6953, 488, 11332, 40478, 40482, 35009, 556, 1055, 11, 4364, 40478, 40482, 5539, 562, 6828, 2460, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0,"[2756, 840, 4863, 6426, 6270, 2816, 2783]"
44141,137046,"[40480, 1007, 31711, 7304, 17570, 40481]","[[3137, 10207, 11125], [1039, 25754], [2417, 14389], [1092, 2507, 6444], [837, 7327]]","[40480, 40482, 16172, 10207, 11125, 7606, 40478, 40482, 1072, 500, 11868, 4835, 39587, 556, 277, 278, 280, 3026, 1353, 488, 481, 1039, 25754, 40478, 40482, 851, 1229, 562, 7379, 1571, 40478, 40482, 5539, 10207, 11125, 240, 1809, 240, 715, 11868, 2525, 562, 284, 1571, 40478, 40482, 9467, 500, 14389, 40478, 40482, 5539, 240, 1809, 240, 715, 954, 2525, 562, 284, 1571, 485, 15799, 14389, 40478, 40482, 669, 2022, 240, 4459, 2525, 485, 11868, 1583, 240, 4846, 6444, 240, 488, 5539, 562, 282, 260, 284, 1571, 725, 240, 522, 1073, 14389, 640, 963, 2022, 40478, 40482, 6018, 617, 2525, 40478, 40482, 4309, 24440, 7304, 488, 31711, 7087, 556, 246, 22102, 17771, 40478, 40482, 9467, 500, 837, 7327, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[2790, 2016, 6954, 4320, 7642]"
76887,26971,"[40480, 7648, 2176, 21044, 22942, 247, 6878, 28058, 40481]","[[1430, 11434], [22942, 556, 11007], [38966, 19811], [1353], [1454, 6878], [1615, 23, 695, 2338, 6821]]","[40480, 40482, 2507, 5089, 500, 1719, 28058, 504, 11868, 260, 1583, 2525, 40478, 40482, 9933, 40478, 40482, 4846, 22942, 240, 19811, 488, 1353, 40478, 40482, 9467, 40478, 40482, 2030, 485, 14057, 40478, 40482, 9467, 500, 6878, 488, 3572, 6821, 10905, 40478, 40482, 2454, 40478, 40482, 6018, 617, 2525, 40478, 40482, 851, 1229, 284, 1571, 40478, 40482, 9467, 1073, 3572, 6821, 10905, 544, 6737, 40478, 40481]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[3484, 1317, 2131, 7655, 7783, 7594]"
33452,81016,"[40480, 35199, 2507, 6444, 7056, 40481]","[[563, 12187, 292, 260, 3652, 7056, 6515], [2507, 6444], [589, 260, 4001, 17918], [6953], [16421, 5940], [8780], [1430, 15341]]","[40480, 40482, 729, 2525, 10906, 485, 43, 8393, 9378, 40478, 40482, 500, 481, 7056, 6515, 240, 1082, 481, 2507, 6444, 240, 17918, 488, 6953, 40478, 40482, 7087, 556, 704, 1413, 40478, 40482, 8240, 481, 16421, 5940, 715, 481, 17918, 488, 6444, 240, 568, 587, 595, 9467, 522, 7087, 616, 500, 40478, 40482, 12039, 556, 8780, 240, 488, 35009, 556, 15341, 240, 33114, 240, 715, 589, 40478, 40482, 19007, 562, 8393, 1571, 240, 522, 1073, 481, 4858, 668, 12258, 609, 500, 481, 2233, 40478, 40482, 481, 4858, 812, 868, 2055, 1233, 240, 568, 525, 535, 481, 638, 507, 535, 2168, 485, 580, 40478, 40482, 616, 7056, 544, 1198, 5783, 491, 844, 7858, 40478, 40482, 645, 512, 8658, 746, 22519, 240, 492, 2525, 688, 500, 481, 10906, 781, 6255, 40478, 40482, 562, 525, 3338, 240, 19007, 277, 2088, 488, 7379, 1571, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7352, 800, 63, 6270, 2559, 840, 3497]"
50259,99574,"[40480, 8, 1048, 26, 13321, 249, 40481]","[[3137, 26377], [4564, 7524], [1949, 4017], [5940]]","[40480, 40482, 23667, 26377, 240, 4564, 7524, 296, 2654, 40277, 500, 2044, 37453, 40478, 40482, 12172, 562, 277, 277, 278, 280, 1571, 40478, 40482, 8240, 5940, 666, 37453, 296, 4086, 5802, 507, 980, 14081, 296, 8062, 33574, 40478, 40482, 4846, 481, 26377, 673, 944, 40478, 40482, 4086, 562, 670, 277, 2176, 40478, 40482, 8240, 666, 11998, 3435, 40478, 40482, 4103, 2198, 40478, 40481]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,"[2843, 5058, 1553, 4717]"
24631,125097,"[40480, 39327, 556, 16084, 8780, 40481]","[[37867, 7424, 745], [3137, 2008, 565, 2113], [13249, 240, 17, 686, 498], [39327, 12903]]","[40480, 40482, 500, 1220, 4835, 39587, 240, 9423, 8780, 40478, 40482, 9467, 500, 2008, 565, 2113, 488, 13249, 15258, 40478, 40482, 32093, 280, 1571, 715, 954, 2525, 40478, 40482, 8240, 715, 8545, 39327, 12903, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[7537, 2906, 4288, 222]"
14216,160203,"[40480, 3418, 10382, 6821, 1566, 4621, 40481]","[[8780], [21453], [15022], [4914, 6821], [7673, 6821], [6812], [15022, 6953], [734, 5612], [2008, 565, 2113], [11332], [3418, 30439], [734, 744, 3707, 6821], [10166, 23935, 17169], [14581, 26, 2410, 22102, 5458]]","[40480, 40482, 9423, 277, 278, 282, 3026, 8780, 500, 246, 28058, 488, 4835, 836, 481, 19414, 1073, 2022, 587, 595, 2507, 40478, 40482, 4846, 15022, 240, 9467, 40478, 40482, 2523, 4914, 6821, 488, 481, 7673, 6821, 1073, 862, 5811, 40478, 40482, 2523, 500, 6812, 566, 491, 246, 720, 40478, 40482, 4846, 15022, 6953, 240, 734, 5612, 240, 2008, 565, 2113, 296, 11332, 40478, 40482, 2523, 485, 7087, 862, 40478, 40482, 4846, 19414, 488, 775, 999, 715, 8780, 1121, 14719, 40478, 40482, 4846, 3418, 30439, 240, 734, 744, 3707, 296, 23935, 17169, 240, 9467, 40478, 40482, 1955, 551, 481, 2226, 245, 5458, 296, 4233, 556, 6737, 8780, 240, 6855, 284, 5458, 40478, 40482, 1072, 277, 278, 281, 7087, 504, 566, 872, 498, 1183, 6855, 296, 3612, 609, 11326, 6195, 498, 5458, 785, 481, 4858, 40478, 40482, 2506, 246, 963, 2801, 2898, 1892, 1183, 3612, 666, 5895, 3585, 40478, 40482, 645, 512, 640, 797, 485, 9233, 481, 5825, 1357, 481, 1892, 3585, 1281, 843, 5521, 481, 3612, 240, 5507, 500, 4438, 5507, 488, 674, 14653, 296, 9233, 40478, 40482, 585, 9379, 781, 15473, 40478, 40482, 669, 512, 640, 1011, 485, 19007, 688, 729, 2525, 10906, 485, 43, 28852, 250, 6143, 481, 5825, 666, 481, 3585, 240, 1955, 1892, 737, 609, 504, 246, 4309, 856, 630, 11274, 5070, 19007, 562, 7379, 260, 6828, 1571, 522, 1073, 10123, 903, 2324, 4103, 2107, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,"[840, 5010, 3184, 1910, 1838, 2499, 3219, 5185, 7099, 5319, 202, 5180, 6611, 5359]"
5197,135214,"[40480, 8046, 6821, 2215, 40481]","[[17262, 4914, 6821], [2801, 6821], [1454, 26285], [18560, 6821], [15022, 8361]]","[40480, 40482, 587, 595, 15963, 485, 15799, 40478, 40482, 1357, 491, 844, 26459, 485, 15799, 40478, 40482, 7087, 1281, 240, 488, 3612, 666, 246, 2215, 240, 3612, 500, 7327, 278, 6821, 278, 4204, 5507, 500, 4438, 40478, 40481]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,"[1910, 6433, 7799, 5721, 3217]"
436,49615,"[40480, 15232, 12778, 26433, 7056, 40481]","[[6444], [9230, 789, 607], [1353], [12698, 11125], [8780], [13249, 7524], [13249, 240, 17, 686, 498], [7056, 6515]]","[40480, 40482, 5539, 481, 929, 2878, 16126, 1073, 963, 2377, 40478, 40482, 6748, 500, 481, 280, 7420, 3137, 522, 4787, 12698, 11125, 488, 8240, 666, 246, 12187, 7056, 6515, 40478, 40482, 851, 7056, 2548, 488, 1495, 556, 6198, 4914, 40478, 40481]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,"[6906, 1833, 7655, 648, 840, 4253, 4288, 5381]"
